locus,map_chr,map_prop,map_pos,dlab_chr,dlab_prop,dlab_pos,poli_chr,poli_prop,poli_pos,gacu_chr,gacu_prop,gacu_pos,lcal_chr,lcal_prop,lcal_pos,trub_chr,trub_prop,trub_pos,tnig_chr,tnig_prop,tnig_pos,csem_chr,csem_prop,csem_pos,onil_chr,onil_prop,onil_pos,
dDocent_Contig_171172,12,0.157,11.08,,,,24,0.497,11334532,,,,,,,,,,,,,,,,,,,
dDocent_Contig_151317,19,0.325,18.85,8,0.481,11085517,10,0.538,11757215,,,,,,,,,,,,,,,,,,,
dDocent_Contig_3315,14,0.659,35.05,,,,13,0.173,3419895,,,,,,,,,,,,,,,,,,,
dDocent_Contig_7279,24,0.192,12.44,6,0.240,6768020,19,0.327,8636501,,,,,,,,,,,,,,,,,,,
dDocent_Contig_34060,10,0.032,2.14,10,0.070,1683235,11,0.437,9952964,,,,4,0.938,23957559,,,,,,,,,,,,,
dDocent_Contig_56340,11,0.410,27.02,,,,2,0.748,15320911,,,,7_1,0.611,14201595,,,,,,,,,,,,,
dDocent_Contig_66356,1,0.537,35.16,8,0.999,23040746,,,,,,,,,,,,,,,,,,,,,,
dDocent_Contig_94639,15,0.033,2.47,,,,4,0.085,1615854,,,,,,,,,,,,,,,,,,,
dDocent_Contig_11448,20,0.464,32.49,5,0.427,13938772,7,0.243,7167313,2,0.482,11239887,2,0.006,172336,13,0.935,15855278,,,,5,0.223,4304831,1,0.403,12557923,
dDocent_Contig_1176,9,0.515,40.41,,,,20,0.252,5778014,,,,,,,,,,,,,,,,,,,
dDocent_Contig_233417,2,0.322,18.15,,,,,,,,,,,,,,,,,,,,,,,,,
dDocent_Contig_6738,13,0.055,3.56,,,,15,0.291,6934704,,,,,,,,,,,,,,,,,,,
dDocent_Contig_228023,1,0.281,18.4,,,,1,0.391,10883697,,,,,,,,,,,,,,,,,,,
dDocent_Contig_20310,13,0.846,54.42,15,0.749,19152537,15,0.129,3075833,16,0.194,3515858,1,0.893,22952590,1,0.474,11017209,2,0.444,9597292,16,0.303,5694987,16,0.285,9953233,
dDocent_Contig_5786,8,0.898,65.16,18-21,0.962,15835483,18,0.886,17196711,,,,24,0.937,18566539,,,,,,,,,,9,0.983,20592953,
dDocent_Contig_352327,1,0.360,23.58,,,,1,0.537,14944927,,,,12,0.795,22138244,,,,,,,,,,,,,
dDocent_Contig_266211,5,0.025,1.65,,,,12,0.042,1071043,,,,,,,,,,,,,,,,,,,
dDocent_Contig_159109,13,0.402,25.88,15,0.355,9072708,15,0.856,20373728,16,0.729,13214951,1,0.518,13306275,1,0.767,17837255,,,,16,0.750,14095188,16,0.587,20479131,
dDocent_Contig_8169,1,0.537,35.16,,,,1,0.720,20012318,,,,,,,,,,,,,,,,,,,
dDocent_Contig_19289,12,0.147,10.41,,,,,,,,,,,,,,,,,,,,,,,,,
dDocent_Contig_134913,17,0.397,24.14,3,0.475,6382881,9,0.580,8619587,,,,15,0.597,18361782,,,,,,,,,,3,0.312,6025448,
dDocent_Contig_18188,10,0.334,22.01,,,,11,0.185,4205016,,,,4,0.717,18314698,,,,,,,,,,,,,
dDocent_Contig_12934,16,0.862,58.84,,,,6,0.371,9138717,,,,15,0.174,5364296,,,,,,,,,,,,,
dDocent_Contig_110926,8,0.633,45.96,,,,18,0.832,16143065,,,,,,,,,,,,,3,0.698,11338811,3,0.368,7102425,
dDocent_Contig_8769,2,0.580,32.63,11,0.489,12823442,3,0.971,22544334,6,0.645,11026139,16-22,0.417,10766893,,,,,,,,,,13,0.689,22574222,
dDocent_Contig_10422,15,0.643,47.78,1B,0.220,3951811,4,0.708,13441216,,,,,,,,,,,,,,,,,,,
dDocent_Contig_115658,17,0.806,49.01,,,,9,0.785,11661350,,,,,,,,,,,,,,,,,,,
dDocent_Contig_78739,13,0.010,0.660000000000002,,,,15,0.251,5982175,,,,,,,,,,,,,,,,,,,
dDocent_Contig_4352,4,0.065,4.96,7,0.143,4062387,5,0.729,18831377,,,,5,0.974,28200031,,,,,,,,,,,,,
dDocent_Contig_24236,18,0.674,48.22,,,,16,0.048,830165,,,,,,,,,,,,,,,,,,,
dDocent_Contig_5314,7,0.928,52.99,,,,8,0.075,1224578,,,,,,,,,,,,,,,,,,,
dDocent_Contig_52,9,0.515,40.41,,,,20,0.420,9618937,,,,,,,,,,,,,,,,,,,
dDocent_Contig_58669,9,0.536,42.05,14,0.694,19701472,20,0.306,7008666,,,,20,0.781,18549234,,,,,,,,,,,,,
dDocent_Contig_118429,21,0.819,52.71,,,,14,0.937,10443680,,,,,,,,,,,,,,,,,,,
dDocent_Contig_32622,9,0.213,16.72,14,0.246,6991859,20,0.870,19940915,7,0.470,13130278,20,0.277,6587419,,,,,,,19,0.104,1848007,10,0.169,2880427,
dDocent_Contig_349199,19,0.417,24.21,,,,10,0.403,8808518,,,,,,,,,,,,,,,,,,,
dDocent_Contig_73852,12,0.911,64.52,,,,24,0.905,20632262,,,,,,,,,,,,,,,,,,,
dDocent_Contig_198612,19,0.224,13.02,,,,10,0.893,19504645,,,,,,,,,,,,,,,,,,,
dDocent_Contig_236388,21,0.514,33.1,,,,14,0.388,4322043,,,,,,,,,,,,,,,,,,,
dDocent_Contig_54778,10,0.584,38.5,,,,11,0.605,13775026,3,0.042,704964,4,0.454,11599269,,,,,,,20,0.501,7623425,,,,
dDocent_Contig_31210,24,0.000,0,,,,19,0.075,1973573,19,0.183,3698126,10,0.860,24017464,,,,,,,,,,,,,
dDocent_Contig_139511,2,0.976,54.96,,,,3,0.453,10505101,,,,,,,,,,,,,,,,,,,
dDocent_Contig_69138,19,0.204,11.81,,,,10,0.835,18244067,,,,,,,,,,,,,,,,,,,
dDocent_Contig_113733,12,0.377,26.72,,,,23,0.089,2604735,,,,,,,,,,,,,,,,,,,
dDocent_Contig_3454,10,0.433,28.53,,,,11,0.064,1456966,,,,,,,,,,,,,,,,,,,
dDocent_Contig_50758,15,0.630,46.85,,,,,,,,,,,,,,,,,,,,,,,,,
dDocent_Contig_61063,19,0.531,30.79,8,0.060,1382207,10,0.295,6456004,11,0.763,12738645,11,0.600,13984954,5,0.330,4017954,,,,17,0.642,10566329,4,0.137,3922396,
dDocent_Contig_194800,24,0.777,50.21,,,,,,,,,,10,0.103,2866125,,,,,,,,,,,,,
dDocent_Contig_140479,9,0.132,10.33,,,,20,0.764,17500125,,,,,,,,,,,,,,,,,,,
dDocent_Contig_5706,22,0.779,59.13,,,,22,0.101,2011827,,,,,,,,,,,,,,,,,,,
dDocent_Contig_167624,12,0.947,67.07,4,0.016,448876,24,0.977,22276330,,,,17,0.968,26796675,,,,,,,,,,,,,
dDocent_Contig_73951,8,0.000,0,,,,,,,,,,,,,,,,,,,,,,,,,
dDocent_Contig_64438,13,0.858,55.24,15,0.740,18929373,15,0.361,8586194,,,,1,0.885,22745799,,,,,,,,,,16,0.292,10173183,
dDocent_Contig_228826,3,0.129,8.76,,,,,,,,,,,,,,,,,,,,,,,,,
dDocent_Contig_2202,23,0.681,44.58,22-25,0.694,18355043,17,0.508,12787977,12,0.359,6597084,6,0.001,26493,3,0.255,3334173,,,,10,0.550,11563041,,,,
dDocent_Contig_74727,23,0.153,10.04,22-25,0.186,4910901,17,0.807,20325719,12,0.866,15934255,6,0.987,27553948,,,,,,,10,0.018,370333,20,0.290,9131532,
dDocent_Contig_130341,16,0.701,47.84,,,,6,0.525,12922440,,,,,,,,,,,,,,,,,,,
dDocent_Contig_238787,5,0.221,14.78,2,0.492,12897078,12,0.677,17412211,,,,,,,,,,1,0.133,3061154,,,,,,,
dDocent_Contig_26684,16,0.223,15.22,,,,,,,,,,15,0.473,14555111,,,,,,,,,,,,,
dDocent_Contig_11795,20,0.279,19.51,,,,7,0.367,10834843,,,,,,,,,,,,,,,,,,,
dDocent_Contig_4863,24,0.429,27.75,6,0.466,13132867,19,0.453,11963224,,,,10,0.374,10460480,,,,,,,,,,13,0.850,27855925,
dDocent_Contig_222489,5,0.981,65.46,,,,12,0.112,2887456,,,,8,0.952,24672294,,,,,,,15,0.620,12452769,,,,
dDocent_Contig_3765,12,0.536,37.97,,,,,,,8,0.504,9768502,17,0.650,17982201,,,,,,,,,,18,0.240,6275717,
dDocent_Contig_326223,18,0.000,0,,,,,,,,,,,,,,,,,,,,,,,,,
dDocent_Contig_29698,20,0.165,11.54,,,,,,,,,,,,,,,,,,,,,,,,,
dDocent_Contig_286444,22,0.779,59.13,,,,22,0.135,2697008,,,,,,,,,,,,,,,,,,,
dDocent_Contig_198003,13,0.257,16.56,,,,15,0.169,4019784,,,,1,0.387,9956006,,,,,,,,,,16,0.884,30843222,
dDocent_Contig_1655,11,0.900,59.37,17,0.838,19173852,2,0.909,18625719,,,,7_1,0.128,2974018,,,,,,,,,,,,,
dDocent_Contig_24841,4,0.872,66.53,7,0.829,23617404,5,0.158,4077050,,,,5,0.286,8294502,,,,,,,,,,,,,
dDocent_Contig_316462,3,0.558,37.9,13,0.218,6023631,21,0.185,4673287,,,,,,,,,,,,,,,,,,,
dDocent_Contig_101801,9,0.235,18.42,14,0.351,9979624,20,0.738,16914248,7,0.558,15598831,20,0.400,9509008,15,0.654,7535909,7,0.653,7639811,19,0.005,90382,10,0.406,6937091,
dDocent_Contig_2289,5,0.293,19.58,,,,,,,,,,,,,,,,,,,,,,,,,
dDocent_Contig_10903,4,0.868,66.22,,,,5,0.908,23455675,,,,,,,,,,,,,,,,,,,
dDocent_Contig_149785,16,0.862,58.84,16,0.075,1942198,6,0.441,10866647,20,0.752,14837318,15,0.131,4029475,,,,,,,13,0.988,21664472,11,0.754,25219899,
dDocent_Contig_47979,21,0.000,0,24,0.950,13226206,,,,,,,,,,,,,,,,,,,19,0.934,25376231,
dDocent_Contig_100682,7,0.121,6.9,,,,,,,,,,,,,2,0.819,9340180,10,0.241,3193045,,,,,,,
dDocent_Contig_21922,19,1.000,58.01,,,,,,,,,,,,,,,,,,,,,,,,,
dDocent_Contig_115567,17,0.066,4.03,3,0.287,3857343,,,,,,,,,,,,,,,,,,,3,0.101,1951855,
dDocent_Contig_9840,15,0.025,1.85,,,,4,0.039,739730,,,,,,,,,,,,,,,,,,,
dDocent_Contig_360820,20,0.147,10.3,,,,7,0.062,1841671,,,,,,,,,,,,,,,,,,,
dDocent_Contig_140685,7,0.287,16.42,,,,8,0.811,13266444,,,,19,0.464,11374650,,,,,,,,,,,,,
dDocent_Contig_21841,14,0.688,36.62,19,0.678,15736922,13,0.087,1723920,14,0.493,7511544,9,0.397,9118205,,,,,,,,,,7,0.436,22276486,
dDocent_Contig_28438,9,0.493,38.74,,,,20,0.436,9988392,,,,,,,,,,,,,,,,,,,
dDocent_Contig_235337,1,0.028,1.86,1A,0.220,6383908,1,0.518,14414743,17,0.909,13279288,12,0.454,12628532,19,0.918,13027763,11,0.877,10484185,11,0.514,10561481,5,0.205,7664613,
dDocent_Contig_336196,23,1.000,65.44,22-25,0.670,17721826,17,0.532,13410615,12,0.382,7035825,6,0.297,8286085,3,0.284,3713258,9,0.070,739460,10,0.529,11117739,20,0.984,30968127,
dDocent_Contig_77372,12,0.636,45.05,4,0.018,486718,24,0.978,22295665,8,0.199,3863337,17,0.967,26770679,,,,,,,2,0.558,11185238,17,0.332,10529573,
dDocent_Contig_56128,13,0.257,16.56,15,0.273,6988991,15,0.943,22449599,16,0.813,14719606,1,0.442,11367289,1,0.822,19122820,2,0.809,17471237,16,0.984,18490658,16,0.830,28941555,
dDocent_Contig_326037,9,0.375,29.43,,,,,,,,,,,,,,,,,,,,,,,,,
dDocent_Contig_24740,19,0.065,3.77999999999999,,,,10,0.947,20693151,,,,,,,,,,,,,,,,,,,
dDocent_Contig_9603,8,0.734,53.27,,,,18,0.509,9879315,,,,,,,,,,,,,,,,,,,
dDocent_Contig_21187,21,0.495,31.87,24,0.117,1633206,14,0.260,2901551,1,0.998,28136098,7_2,0.136,1896196,,,,,,,14,0.421,12146746,,,,
dDocent_Contig_109667,24,0.000,0,,,,,,,,,,,,,,,,,,,,,,,,,
dDocent_Contig_13350,10,0.171,11.28,10,0.100,2397207,11,0.389,8862417,3,0.374,6288708,4,0.901,23022851,,,,,,,20,0.736,11210620,18,0.020,536252,
dDocent_Contig_151933,3,0.076,5.19,,,,,,,,,,,,,,,,,,,,,,,,,
dDocent_Contig_91933,11,0.018,1.16,,,,,,,,,,,,,,,,,,,,,,,,,
dDocent_Contig_7844,16,0.223,15.22,,,,6,0.749,18444933,,,,15,0.554,17048483,,,,,,,,,,,,,
dDocent_Contig_304602,23,0.418,27.33,,,,17,0.204,5128491,,,,,,,,,,,,,,,,,,,
dDocent_Contig_50700,21,0.560,36.06,24,0.352,4898978,14,0.088,985406,1,0.795,22417450,7_2,0.396,5504694,,,,,,,,,,,,,
dDocent_Contig_251033,22,0.741,56.25,9,0.704,15737537,22,0.346,6925155,10,0.378,5922366,3,0.572,13443324,,,,,,,,,,,,,
dDocent_Contig_372715,3,0.408,27.7,13,0.473,13077284,21,0.504,12758316,,,,21,0.284,8135917,,,,,,,,,,,,,
dDocent_Contig_32774,11,0.383,25.25,17,0.393,8989815,2,0.757,15507775,18,0.952,15504277,7_1,0.602,14012523,,,,,,,,,,,,,
dDocent_Contig_83202,20,0.402,28.17,,,,7,0.514,15187910,,,,,,,,,,,,,,,,,,,
dDocent_Contig_5465,12,0.119,8.41,4,0.784,21604577,24,0.554,12633322,,,,17,0.206,5701789,,,,,,,,,,,,,
dDocent_Contig_118220,12,0.052,3.66,,,,,,,,,,,,,,,,,,,,,,,,,
dDocent_Contig_79954,23,0.887,58.03,,,,17,0.111,2793108,,,,,,,,,,,,,,,,,,,
dDocent_Contig_299843,21,0.843,54.27,24,0.728,10126924,14,0.421,4694961,1,0.887,25003617,7_2,0.548,7617679,8,0.144,2117369,,,,14,0.510,14704659,,,,
dDocent_Contig_3891,7,0.420,23.98,12,0.576,13394417,2,0.968,19834718,,,,19,0.560,13725840,,,,,,,,,,,,,
dDocent_Contig_48424,15,0.399,29.7,,,,4,0.210,3978128,,,,23,0.612,11124317,,,,,,,8,0.061,1825296,8,0.570,16799755,
dDocent_Contig_349127,7,0.115,6.59,12,0.309,7183493,8,0.326,5333054,15,0.265,4293549,19,0.306,7510041,2,0.861,9825245,10,0.281,3724824,1,0.066,2293715,19,0.581,15777069,
dDocent_Contig_101841,15,0.304,22.58,1B,0.366,6586630,4,0.469,8912537,5,0.786,9625188,23,0.475,8630502,1,0.379,8825826,15,0.950,6953683,8,0.320,9637018,8,0.451,13291753,
dDocent_Contig_8598,3,0.131,8.91,13,0.678,18714661,21,0.714,18063624,1,0.361,10185182,21,0.474,13599395,11,0.464,5216265,16,0.238,2151979,4,0.580,11612664,14,0.538,18409500,
dDocent_Contig_32901,5,0.059,3.95,,,,,,,,,,,,,,,,,,,,,,,,,
dDocent_Contig_7910,19,0.464,26.92,,,,10,0.520,11369509,,,,,,,,,,,,,,,,,,,
dDocent_Contig_7467,10,0.475,31.3,10,0.489,11773224,11,0.526,11979138,,,,4,0.524,13390998,,,,,,,,,,,,,
dDocent_Contig_23306,12,0.536,37.97,4,0.397,10944593,24,0.061,1383669,8,0.560,10844105,17,0.598,16546593,,,,,,,2,0.158,3163006,,,,
dDocent_Contig_2978,18,0.222,15.87,x,0.299,5307637,16,0.762,13081141,4,0.674,21993042,18,0.749,14380320,,,,,,,8,0.926,27911906,17,0.111,3530559,
dDocent_Contig_195082,15,0.790,58.76,,,,4,0.780,14803924,,,,,,,,,,,,,,,,,,,
dDocent_Contig_55101,20,0.258,18.06,,,,,,,,,,,,,,,,,,,,,,,,,
dDocent_Contig_1745,14,0.370,19.68,19,0.508,11786085,,,,14,0.300,4567705,9,0.565,12978904,,,,,,,14,0.820,23652340,7,0.353,18033440,
dDocent_Contig_18792,23,0.837,54.78,,,,17,0.117,2936466,,,,,,,,,,,,,,,,,,,
dDocent_Contig_9642,22,0.527,40,9,0.651,14564120,22,0.396,7925370,10,0.322,5043193,3,0.525,12345407,,,,,,,,,,,,,
dDocent_Contig_61319,8,0.219,15.92,18-21,0.072,1188443,18,0.585,11353608,21,0.095,1111539,24,0.129,2553089,,,,,,,3,0.377,6131052,9,0.152,3192257,
dDocent_Contig_27189,18,0.159,11.39,,,,16,0.805,13816068,,,,18,0.792,15197571,,,,,,,,,,17,0.143,4552797,
dDocent_Contig_9976,19,0.702,40.71,8,0.018,409976,10,0.179,3917860,11,0.240,4015654,11,0.735,17114580,,,,,,,,,,4,0.272,7787823,
dDocent_Contig_332610,4,0.570,43.5,,,,5,0.179,4617242,,,,,,,,,,,,,,,,,,,
dDocent_Contig_266305,1,0.122,7.97,,,,,,,,,,,,,,,,,,,,,,,,,
dDocent_Contig_113099,19,0.530,30.76,,,,,,,,,,,,,,,,,,,,,,,,,
dDocent_Contig_182942,6,0.575,40.84,20,0.410,11636696,23,0.410,12005127,13,0.303,6088506,13,0.254,6911465,,,,,,,,,,,,,
dDocent_Contig_9237,16,0.862,58.84,16,0.099,2568493,6,0.395,9715834,20,0.773,15247251,15,0.152,4664446,7,0.166,2368045,,,,13,0.356,7812685,11,0.983,32894985,
dDocent_Contig_187344,19,0.129,7.48999999999999,8,0.759,17511053,10,0.724,15818046,,,,11,0.095,2211281,,,,,,,,,,4,0.884,25348003,
dDocent_Contig_12988,22,0.523,39.69,9,0.637,14237251,22,0.433,8647535,10,0.306,4798851,3,0.512,12031397,,,,,,,18,0.693,10533952,22,0.451,11913247,
dDocent_Contig_19709,18,0.531,37.98,x,0.682,12117429,16,0.135,2310743,4,0.930,30345998,18,0.410,7874875,,,,,,,,,,17,0.644,20450645,
dDocent_Contig_22663,14,0.291,15.46,,,,,,,14,0.208,3176409,9,0.650,14945253,6,0.436,4102064,,,,14,0.970,27990866,,,,
dDocent_Contig_60276,7,0.928,52.99,,,,8,0.056,916435,,,,19,0.961,23556717,,,,,,,,,,19,0.871,23654339,
dDocent_Contig_83020,17,0.087,5.29,3,0.261,3515814,9,0.061,906723,,,,14,0.239,3361345,,,,,,,,,,3,0.083,1601551,
dDocent_Contig_6237,4,0.097,7.42,7,0.239,6809662,5,0.630,16273101,,,,,,,,,,,,,9,0.905,17760987,,,,
dDocent_Contig_2982,8,0.354,25.69,18-21,0.239,3926886,18,0.087,1686867,,,,24,0.366,7248853,,,,,,,3,0.244,3963383,9,0.281,5894508,
dDocent_Contig_114038,21,0.529,34.03,24,0.975,13565331,,,,1,0.958,27007944,,,,1,0.570,13248586,,,,,,,,,,
dDocent_Contig_5023,7,0.092,5.25,12,0.151,3498488,8,0.379,6202239,15,0.993,16090274,19,0.160,3935444,,,,,,,,,,19,0.416,11305835,
dDocent_Contig_329166,22,0.122,9.28,9,0.264,5903949,22,0.823,16455875,,,,3,0.161,3789489,,,,,,,,,,,,,
dDocent_Contig_157701,15,0.790,58.76,7,0.481,13694214,,,,,,,,,,,,,,,,,,,,,,
dDocent_Contig_126525,6,0.319,22.69,20,0.280,7945208,23,0.631,18484156,,,,13,0.533,14532852,,,,,,,,,,,,,
dDocent_Contig_155556,16,0.166,11.33,16,0.596,15398921,6,0.617,15192664,20,0.340,6717200,15,0.831,25570101,,,,,,,13,0.299,6544669,,,,
dDocent_Contig_31814,5,0.781,52.13,,,,12,0.462,11869440,,,,,,,,,,,,,,,,2,0.026,643866,
dDocent_Contig_16492,22,0.155,11.75,,,,22,0.787,15731477,,,,,,,,,,,,,,,,,,,
dDocent_Contig_15840,1,0.363,23.77,,,,1,0.950,26422808,,,,12,0.800,22278336,,,,,,,11,0.169,3472315,,,,
dDocent_Contig_359129,5,0.842,56.19,,,,12,0.465,11956071,,,,,,,,,,,,,,,,,,,
dDocent_Contig_26873,19,0.528,30.63,,,,,,,,,,,,,,,,,,,,,,,,,
dDocent_Contig_225051,3,0.522,35.45,13,0.354,9765553,21,0.377,9530329,,,,21,0.168,4818506,11,0.103,1162700,,,,,,,14,0.318,10882946,
dDocent_Contig_355463,10,0.171,11.28,,,,11,0.377,8578827,,,,,,,,,,,,,,,,,,,
dDocent_Contig_20088,22,0.498,37.83,,,,,,,,,,,,,,,,,,,,,,,,,
dDocent_Contig_17517,5,0.419,27.95,2,0.341,8952330,12,0.497,12777531,4,0.325,10605760,8,0.430,11146501,14,0.335,4131375,1,0.015,354923,15,0.525,10544232,2,0.723,18116034,
dDocent_Contig_56975,19,0.434,25.2,,,,10,0.402,8782969,,,,,,,,,,,,,,,,,,,
dDocent_Contig_8234,16,0.679,46.32,16,0.178,4604614,6,0.490,12052242,,,,15,0.221,6807486,7,0.029,412675,,,,,,,11,0.696,23272146,
dDocent_Contig_79174,7,0.755,43.11,,,,8,0.149,2434515,,,,,,,,,,,,,,,,,,,
dDocent_Contig_33115,7,0.000,0,12,0.284,6604523,8,0.942,15417181,15,0.114,1853662,19,0.282,6927313,,,,10,0.179,2375131,1,0.059,2035680,19,0.549,14914406,
dDocent_Contig_252975,6,0.950,67.51,20,0.592,16814495,23,0.036,1052762,13,0.886,17787161,13,0.069,1875368,,,,,,,,,,12,0.769,26659753,
dDocent_Contig_99076,23,0.403,26.4,22-25,0.324,8560285,17,0.220,5539259,,,,6,0.633,17689899,,,,,,,10,0.949,19942106,20,0.422,13273737,
dDocent_Contig_73935,18,1.000,71.55,,,,16,0.996,17086431,,,,,,,,,,,,,,,,,,,
dDocent_Contig_20733,20,0.296,20.72,,,,7,0.439,12982834,,,,,,,,,,,,,,,,,,,
dDocent_Contig_149762,14,0.665,35.36,,,,13,0.910,17999783,,,,,,,,,,,,,,,,,,,
dDocent_Contig_12561,2,0.934,52.59,,,,3,0.419,9720028,,,,,,,,,,,,,,,,,,,
dDocent_Contig_68779,4,0.960,73.22,,,,5,0.959,24795593,,,,,,,,,,,,,,,,,,,
dDocent_Contig_149539,13,0.257,16.56,,,,15,0.216,5148758,,,,,,,,,,,,,,,,,,,
dDocent_Contig_72913,23,0.673,44.07,,,,17,0.546,13757290,,,,,,,,,,,,,,,,,,,
dDocent_Contig_8082,3,0.074,5.04,,,,21,0.943,23867073,,,,,,,,,,,,,,,,,,,
dDocent_Contig_6814,24,0.629,40.63,6,0.613,17273498,19,0.846,22320933,19,0.218,4420764,10,0.232,6488958,9,0.725,10093930,13,0.671,8926011,6,0.391,7358321,13,0.988,32390954,
dDocent_Contig_1291,1,0.473,30.97,1A,0.645,18727464,1,0.120,3331699,17,0.430,6282022,20,0.086,2035059,19,0.494,7012772,11,0.421,5031041,,,,5,0.648,24237942,
dDocent_Contig_83158,4,0.347,26.45,,,,,,,,,,,,,,,,,,,,,,,,,
dDocent_Contig_136160,8,0.542,39.35,18-21,0.592,9740397,18,0.377,7322032,,,,24,0.657,13016896,10,0.584,5331518,,,,,,,,,,
dDocent_Contig_54748,24,0.460,29.76,6,0.542,15283581,19,0.690,18205756,19,0.288,5822374,10,0.300,8369930,9,0.811,11285208,13,0.755,10047628,6,0.571,10757778,13,0.923,30261305,
dDocent_Contig_107013,18,1.000,71.55,,,,16,0.914,15690948,,,,,,,,,,,,,,,,,,,
dDocent_Contig_329394,3,0.373,25.37,13,0.644,17799433,21,0.680,17211820,,,,21,0.441,12651812,11,0.417,4686362,,,,,,,14,0.446,15261259,
dDocent_Contig_108402,10,0.312,20.53,10,0.251,6045575,,,,,,,,,,22,0.882,10240879,,,,,,,9,0.830,17398625,
dDocent_Contig_6303,20,0.491,34.35,,,,7,0.210,6195035,,,,,,,,,,,,,,,,,,,
dDocent_Contig_118765,12,0.964,68.24,4,0.072,1989288,24,0.852,19422950,,,,17,0.918,25409666,,,,,,,,,,,,,
dDocent_Contig_7179,20,0.738,51.65,5,0.761,24831634,7,0.886,26194874,,,,2,0.355,10797889,,,,,,,,,,,,,
dDocent_Contig_82406,19,0.371,21.54,,,,10,0.327,7143597,,,,,,,,,,,,,,,,,,,
dDocent_Contig_93424,13,0.480,30.92,15,0.530,13551094,15,0.506,12041236,16,0.540,9784325,1,0.689,17720787,1,0.645,15003058,2,0.621,13403544,16,0.350,6582555,16,0.446,15553100,
dDocent_Contig_17343,5,0.434,28.96,2,0.352,9218443,12,0.488,12537142,,,,8,0.420,10890886,,,,,,,,,,2,0.759,19003012,
dDocent_Contig_269043,17,0.962,58.45,,,,9,0.882,13114506,,,,,,,,,,,,,,,,,,,
dDocent_Contig_215508,23,0.681,44.58,,,,,,,,,,,,,,,,,,,,,,,,,
dDocent_Contig_11578,1,0.281,18.4,,,,1,0.303,8435169,,,,,,,,,,,,,,,,,,,
dDocent_Contig_14848,19,0.628,36.43,8,0.122,2818020,10,0.243,5312964,11,0.887,14821676,11,0.659,15355945,,,,,,,,,,4,0.168,4830965,
dDocent_Contig_337536,24,0.350,22.65,,,,,,,19,0.313,6327123,,,,9,0.639,8903278,13,0.591,7861098,6,0.654,12316601,7,0.754,38480839,
dDocent_Contig_75112,13,0.721,46.42,15,0.730,18667554,15,0.371,8817562,,,,1,0.876,22504372,,,,,,,,,,16,0.299,10438001,
dDocent_Contig_20865,10,0.750,49.4,10,0.764,18384683,11,0.997,22702123,3,0.699,11737486,4,0.270,6885349,22,0.202,2342578,,,,20,0.674,10271761,18,0.710,18596985,
dDocent_Contig_98910,10,0.353,23.27,,,,11,0.252,5748750,,,,,,,,,,,,,,,,,,,
dDocent_Contig_7650,4,0.272,20.72,7,0.179,5107563,5,0.684,17674949,9,0.493,9974740,5,0.943,27307706,17,0.297,3325175,,,,,,,6,0.897,32934854,
dDocent_Contig_12065,5,0.837,55.85,,,,12,0.224,5760395,,,,,,,,,,,,,,,,,,,
dDocent_Contig_48005,11,0.251,16.59,17,0.197,4509596,2,0.049,994628,18,0.097,1580640,7_1,0.788,18327670,,,,,,,,,,15,0.947,25283549,
dDocent_Contig_59834,14,0.867,46.14,,,,13,0.853,16871943,,,,,,,,,,,,,,,,,,,
dDocent_Contig_3025,15,0.304,22.58,,,,4,0.096,1828059,,,,,,,,,,,,,,,,,,,
dDocent_Contig_22088,7,0.675,38.59,,,,8,0.044,722445,,,,,,,,,,,,,,,,,,,
dDocent_Contig_146849,4,0.535,40.8,,,,,,,,,,,,,,,,,,,,,,,,,
dDocent_Contig_178579,20,0.938,65.67,5,0.733,23904694,7,0.914,27003777,,,,2,0.327,9950441,,,,,,,,,,1,0.053,1659976,
dDocent_Contig_3398,1,0.537,35.16,,,,,,,,,,,,,,,,,,,,,,,,,
dDocent_Contig_376782,20,0.402,28.17,5,0.345,11254798,7,0.096,2829843,,,,2,0.893,27135398,,,,,,,,,,,,,
dDocent_Contig_5654,23,0.837,54.78,,,,17,0.102,2562926,,,,,,,,,,,,,,,,,,,
dDocent_Contig_19889,15,0.125,9.27,,,,4,0.173,3278905,,,,,,,,,,,,,,,,,,,
dDocent_Contig_154461,20,0.745,52.15,5,0.704,22971938,7,0.834,24639268,,,,2,0.298,9066014,,,,,,,,,,,,,
dDocent_Contig_7017,20,0.262,18.37,5,0.074,2428127,7,0.369,10902244,,,,2,0.600,18233127,,,,,,,,,,,,,
dDocent_Contig_53537,14,0.081,4.33,19,0.279,6473685,,,,14,0.071,1082308,9,0.792,18197843,,,,4,0.482,4754766,14,0.656,18917356,12,0.428,14849688,
dDocent_Contig_83810,4,0.134,10.22,,,,5,0.594,15352213,,,,,,,,,,,,,,,,,,,
dDocent_Contig_164687,1,0.212,13.88,1A,0.340,9870397,1,0.389,10828898,17,0.633,9251052,12,0.576,16038920,19,0.702,9954567,11,0.194,2322491,11,0.380,7794788,5,0.313,11689219,
dDocent_Contig_663,14,0.315,16.76,,,,,,,,,,,,,,,,,,,,,,,,,
dDocent_Contig_233802,12,1.000,70.79,,,,24,0.971,22132559,8,0.047,904506,17,0.978,27072079,,,,,,,2,0.564,11311150,23,0.509,10574580,
